period                          RS_1Year  RS_9Months  RS_6Months  RS_3Months    RS
Company                 Symbol                                                    
THIMAR                              62.0        26.0        23.0        24.0  32.0
UACC                                42.0        57.0        78.0        79.0  67.0
UCA                                  1.0         7.0        29.0        71.0  36.0
UCIC                                21.0        50.0        46.0        64.0  49.0
WAFA INSURANCE                      65.0        68.0         NaN         NaN  27.0
WAFA Insurance                       NaN         NaN        57.0        39.0  27.0
WAFRAH                              17.0        18.0        23.0        35.0  26.0
WALAA                                8.0        53.0        44.0        81.0  54.0
WATANIYA                            39.0        45.0        64.0        73.0  59.0
Weqaya Takaful                      65.0        68.0        57.0        39.0  54.0
YANSAB                              65.0        43.0        73.0         7.0  39.0
YC                                  29.0        41.0        71.0        53.0  50.0
YCC                                 28.0        51.0        76.0        60.0  55.0
ZAIN KSA                            79.0        73.0        67.0        23.0  54.0
ZOUJAJ                              42.0        52.0        51.0        22.0  38.0
