Symbol,Company,symbol on tradingView
8310,AMANA INSURANCE,TADAWUL:8310
4250,JABAL OMAR,TADAWUL:4250
8020,MALATH INSURANCE,TADAWUL:8020
3092,RIYADH CEMENT,TADAWUL:3092
2130,SIDC,TADAWUL:2130
6040,TADCO,TADAWUL:6040
4170,TECO,TADAWUL:4170
3003,CITY CEMENT,TADAWUL:3003
6002,HERFY FOODS,TADAWUL:6002
8050,SALAMA,TADAWUL:8050
4270,SPPC,TADAWUL:4270
6014,ALAMAR,TADAWUL:6014
4061,ANAAM HOLDING,TADAWUL:4061
6004,CATRION,TADAWUL:6004
3020,YC,TADAWUL:3020
2370,MESC,TADAWUL:2370
4130,SAUDI DARB,TADAWUL:4130
4070,TAPRCO,TADAWUL:4070
8030,MEDGULF,TADAWUL:8030
8170,ALETIHAD,TADAWUL:8170
2120,SAIC,TADAWUL:2120
8230,ALRAJHI TAKAFUL,TADAWUL:8230
4040,SAPTCO,TADAWUL:4040
2281,TANMIAH,TADAWUL:2281
4193,NICE ONE,TADAWUL:4193
6050,SFICO,TADAWUL:6050
4020,ALAKARIA,TADAWUL:4020
4009,SAUDI GERMAN HEALTH,TADAWUL:4009
8190,UCA,TADAWUL:8190
6017,JAHEZ,TADAWUL:6017
1213,NASEEJ,TADAWUL:1213
